Experiment,Feature Version,n_estimators,max_depth,MSE,MAE,R²,RMSE,Carbon Emissions (kg CO2)
v2_hyperparam1,V2,100,10,1431.8624353907696,28.130326518443077,0.8441813496711748,37.83995818431582,4.402161792892728e-06
v2_hyperparam2,V2,200,20,1494.964877119655,28.8817841353844,0.8373143930001836,38.66477566364061,2.844138795300639e-05
v1_hyperparam1,V1,100,10,4454.831988367772,50.985385642189414,0.5152146667778852,66.74452777844617,9.681614180277466e-07
v1_hyperparam2,V1,200,20,5409.191233957127,56.71471159685107,0.41135904077566676,73.54720412059949,3.4089412291272375e-06
